director_id,name
1,A. L. Vijay
2,A. Raajdheep
3,A. Salaam
4,A.R. Murugadoss
5,Aadish Keluskar
6,Aamir Bashir
7,Aamir Khan
8,Aanand Rai
9,Aaron Burns
10,Aaron Hancox
11,Aaron Hann
12,Aaron Lieber
13,Aaron Moorhead
14,Aaron Nee
15,Aaron Sorkin
16,Aaron Woodley
17,Aaron Woolf
18,Aatmaram Dharne
19,Abba T. Makama
20,Abbas Alibhai Burmawalla
21,Abbas Mustan
22,Abbas Tyrewala
23,Abby Epstein
24,Abdellatif Kechiche
25,Abdul Aziz Hashad
26,Abdulaziz Alshlahei
27,Abdullah Al Noor
28,Abel Ferrara
29,Abhay Chopra
30,Abhijeet Deshpande
31,Abhijit Kokate
32,Abhijit Panse
33,Abhinav Shiv Tiwari
34,Abhinay Deo
35,Abhishek Chaubey
36,Abhishek Kapoor
37,Abhishek Saxena
38,Abhishek Sharma
39,Abhishek Varman
40,Abir Sengupta
41,Abosi Ogba
42,Abu Bakr Shawky
43,Achille Brice
44,Aco Tenriyagelli
45,Adam Alleca
46,Adam B. Stein
47,Adam Bhala Lough
48,Adam Bolt
49,Adam Carolla
50,Adam Collins
51,Adam Darke
52,Adam Davis
53,Adam Del Giudice
54,Adam Deyoe
55,Adam Dubin
56,Adam Egypt Mortimer
57,Adam Larson Broder
58,Adam Leon
59,Adam MacDonald
60,Adam Marino
61,Adam McKay
62,Adam Nee
63,Adam Nimoy
64,Adam Randall
65,Adam Salky
66,Adam Schlesinger
67,Adam Shankman
68,Adam Sjöberg
69,Adam Smith
70,Adam Wingard
71,Adam Wood
72,Adarsh Eshwarappa
73,Adekunle Nodash Adejuyigbe
74,Adele K. Thomas
75,Adirek Wattaleela
76,Adisorn Tresirikasem
77,Aditya Kripalani
78,Aditya Sarpotdar
79,Aditya Vikram Sengupta
80,Adrian Murray
81,Adrian Teh
82,Adriana Trigiani
83,Adriano Rudiman
84,Adrien Lagier
85,Adrián García Bogliano
86,Advait Chandan
87,Adze Ugah
88,Afia Nathaniel
89,Afonso Poyart
90,Agasyah Karim
91,Agnidev Chatterjee
92,Agustí Villaronga
93,Ah Loong
94,Ahishor Solomon
95,Ahmad El-Badri
96,Ahmad Samir Farag
97,Ahmed Al-Badry
98,Ahmed El Gendy
99,Ahmed Medhat
100,Ahmed Nader Galal
101,Ahmed Saleh
102,Ahmed Siddiqui
103,Ahmed Yousry
104,Ahmed Zain
105,Ahmed Zein
106,Ahmet Katıksız
107,Ahn Byoung-wook
108,Ahsan Rahim
109,Aijaz Khan
110,Ainsley Gardiner
111,Aitor Arregi
112,Ajay Bahl
113,Ajay Bhuyan
114,Ajay Phansekar
115,Ajithkumar
116,Akashdeep
117,Akay Mason
118,Akhigbe Ilozobhie
